Number of Threads,Average Latency,Standard Deviation,Number of Measures
1,157.05,25.84,20
20,1729.25,392.91,20
40,3436.33,564.87,20
60,6134.62,3279.90,20
80,8250.56,1617.08,20
100,11353.58,2656.04,20
120,15241.93,3450.11,20
140,19831.76,5893.08,20
160,26962.12,11870.62,20
180,28559.81,10301.12,20
200,33307.53,8809.39,20
220,35645.25,9358.46,20
240,41889.83,11761.37,20
260,48547.03,8914.07,20
280,43315.70,10641.82,20
300,47531.08,11625.96,20
320,54198.33,16759.77,20
340,61840.21,12951.58,20
360,66312.84,11928.46,20
380,65755.60,14506.01,20
400,67576.57,14663.94,20
420,76594.38,20617.21,20
440,95578.15,27621.76,20
460,87515.27,13024.95,20
480,91825.86,19362.85,20
500,84140.33,13970.37,20
